Casino Royale
Quantum of Solace 
Skyfall
"10 Dinge, die ich an Dir hasse "
10.000 BC
101 Reykjavik
"13te Krieger, Der "
1408
2012
25 Stunden
27 Dresses
300
4400 - die Ruckkehrer 
4400 - die Ruckkehrer 
4400 - die Ruckkehrer 
6 auf einen Streich: Marchenbox 1
6 auf einen Streich: Marchenbox 2
7 Zwerge ? Manner allein im Wald
A
Ab durch die Hecke 
Abbitte 
About a Boy
Aeon Flux
Akte Jane 
Alatriste
Alexander
Alle Lieben MICKY
Alles ist erleuchtet 
Along Came Polly 
American Princess
"American, The"
Amistad
Anastasia
Anna 
Anna Karenina
Annie
Apocalypse Now
Argo
"Arielle, die Meerjungfrau"
Arn - Der Kreuzritter
Art of War
Auf der Suche nach dem Beerental
Aus nachster Nahe 
Australia
Avatar - Aufbruch nach Pandora 
B
"Baader Meinhof Komplex, Der"
Babel
Bambi
Band of Brothers 
Bandidas
Barenbruder 
Barfuss
Batman - The Dark Knight
Batman Begins
Battleship
Beautiful Mind
Before Sunrise
Benny Hill - The Best of Benny Hill 
Bernard & Bianca
Besessen
"Bewegte Mann, Der"
Big Fish
Black Hawk Down
Black Swan
Blood Diamond
Blow
Bodyguard
Bone Collector
Bones: Die Knochenjagerin
"Book of Eli, The"
Born2Die 
Bounce
"Bourne Identity, The"
"Bourne Supremacy, The"
"Bourne Ultimatum, The"
Bowling for Columbine
"Braut des Prinzen, Die"
Bridget Jones: The Edge of Reason
Bridget Jones's Diary
"Brothers Grimm, The"
"Bube, Dame, Konig, Gras "
Bus
"Butterfly Effect 1, The"
"Butterfly Effect 2, The"
C
Captain Corelli's Mandolin
Cargo
Carolina Moon 
Cars
Cars 2
Casablanca
Casanova
Casanova
Cast Away
Catch Me if You Can
Catwoman
"Changing-Up, The "
Chaos
Charlie Wilson's War
Che: Part One
Che: Part Two
"Chef zum Verlieben, Ein "
"Children of Men, The"
Chocolat
Cinderella
City of Angels 
City of God
Cloverfield
"Coco, der neugierige Affe"
Conspiracy.com
Constantine
Cool Runnings
Cowboys and Aliens
Coyote Ugly
Cube
D
"Da Vinci Code, The"
Dante's Peak
Daredevil
Darf ich Bitten? 
Dark Angel - Season One
Dark Angel - Season Two
Dark Water 
Daumeline
Day After Tomorrow
D-Day 6.6.44
Dead Man Walking
Death Proof
Deja Vu
"Departed, The"
"Deutschmeister, Die"
Dirty Dancing I
Dirty Dancing II
District 9
Dodgeball
